time,available,total
795,3085987840,6018187264
1794,3082719232,6018187264
2800,3084554240,6018187264
3813,3082825728,6018187264
4847,3081379840,6018187264
5846,3079528448,6018187264
6847,3084771328,6018187264
7863,3098554368,6018187264
8901,3098128384,6018187264
9896,3097206784,6018187264
10900,3095994368,6018187264
11944,3093307392,6018187264
12948,3092348928,6018187264
13955,3091222528,6018187264
14956,3090849792,6018187264
15954,3091189760,6018187264
16956,3096776704,6018187264
17948,3095482368,6018187264
18947,3093131264,6018187264
19951,3090288640,6018187264
20946,3089772544,6018187264
22000,3088285696,6018187264
22996,3085467648,6018187264
23996,3084537856,6018187264
25014,3083915264,6018187264
26003,3090472960,6018187264
27010,3089149952,6018187264
28048,3088592896,6018187264
29054,3086864384,6018187264
30095,3085848576,6018187264
31145,3084881920,6018187264
32195,3082162176,6018187264
33201,3081515008,6018187264
34245,3079852032,6018187264
35243,3078385664,6018187264
36246,3084595200,6018187264
37296,3082825728,6018187264
38346,3081232384,6018187264
39344,3079639040,6018187264
40395,3079147520,6018187264
41396,3077296128,6018187264
42397,3074871296,6018187264
43418,3073703936,6018187264
44442,3072339968,6018187264
45442,3078578176,6018187264
46444,3077459968,6018187264
47442,3075510272,6018187264
48444,3074891776,6018187264
49450,3072385024,6018187264
50444,3070918656,6018187264
51501,3066568704,6018187264
52543,3063590912,6018187264
53542,3062366208,6018187264
54544,3068194816,6018187264
55596,3067535360,6018187264
56602,3062996992,6018187264
57613,3061420032,6018187264
58597,3059982336,6018187264
59595,3058372608,6018187264
60650,3056435200,6018187264
61644,3054477312,6018187264
62650,3051745280,6018187264
63712,3050467328,6018187264
64693,3057434624,6018187264
65692,3056214016,6018187264
66706,3047813120,6018187264
67692,3122139136,6018187264
68695,3117457408,6018187264
69692,3111559168,6018187264
70694,3106762752,6018187264
71704,3106557952,6018187264
72698,3098402816,6018187264
73742,3105894400,6018187264
74801,3101442048,6018187264
75793,3121971200,6018187264
76853,3126255616,6018187264
77849,3226951680,6018187264
78851,3225292800,6018187264
79844,3225870336,6018187264
80842,3224551424,6018187264
81854,3233853440,6018187264
82857,3240689664,6018187264
83844,3239866368,6018187264
84895,3238207488,6018187264
85910,3237470208,6018187264
86901,3234205696,6018187264
87950,3232411648,6018187264
88945,3231182848,6018187264
89945,3228364800,6018187264
90996,3226877952,6018187264
92048,3231637504,6018187264
93044,3232092160,6018187264
94048,3227058176,6018187264
95043,3223261184,6018187264
96045,3217969152,6018187264
97051,3215278080,6018187264
98058,3213844480,6018187264
99044,3211739136,6018187264
100101,3210616832,6018187264
101097,3220602880,6018187264
102098,3226652672,6018187264
103098,3250376704,6018187264
104102,3249102848,6018187264
105109,3248156672,6018187264
106108,3246288896,6018187264
107100,3243569152,6018187264
108103,3242954752,6018187264
109095,3241418752,6018187264
110102,3235299328,6018187264
111094,3240574976,6018187264
112103,3236392960,6018187264
113109,3233767424,6018187264
114096,3232161792,6018187264
115144,3229831168,6018187264
116143,3228323840,6018187264
117143,3224276992,6018187264
118149,3219816448,6018187264
119144,3216281600,6018187264
120143,3213766656,6018187264
121141,3217850368,6018187264
122157,3192930304,6018187264
123161,3173740544,6018187264
124151,3172417536,6018187264
125149,3171602432,6018187264
126191,3170586624,6018187264
127213,3169394688,6018187264
128209,3180437504,6018187264
129265,3179413504,6018187264
130262,3178512384,6018187264
131257,3176792064,6018187264
132306,3174301696,6018187264
133307,3173187584,6018187264
134362,3172691968,6018187264
135363,3171704832,6018187264
136360,3171319808,6018187264
137349,3170258944,6018187264
138404,3169652736,6018187264
139410,3169112064,6018187264
140455,3178958848,6018187264
141445,3177537536,6018187264
142444,3176882176,6018187264
143446,3175964672,6018187264
144445,3175600128,6018187264
145494,3174694912,6018187264
146554,3172106240,6018187264
147544,3171979264,6018187264
148550,3172995072,6018187264
149599,3168448512,6018187264
150654,3166519296,6018187264
151714,3165765632,6018187264
152706,3164114944,6018187264
153706,3167191040,6018187264
154724,3166588928,6018187264
155757,3165257728,6018187264
156772,3174330368,6018187264
157811,3174760448,6018187264
158868,3175219200,6018187264
159894,3174948864,6018187264
160912,3174797312,6018187264
161953,3173990400,6018187264
162955,3173572608,6018187264
164018,3172884480,6018187264
165047,3172356096,6018187264
166058,3171688448,6018187264
167056,3171454976,6018187264
168055,3171184640,6018187264
169063,3171057664,6018187264
170068,3170693120,6018187264
171052,3170541568,6018187264
172107,3170242560,6018187264
173109,3169718272,6018187264
174109,3168935936,6018187264
175159,3167625216,6018187264
176145,3166797824,6018187264
177141,3166781440,6018187264
